Step,AgentID,Speed,VehicleType,Position
1682,332,0.0,Truck,"(236306981, 281474610)"
1683,313,18.0,Car,"(273461469, 273461466)"
1683,318,21.6,Car,"(236160006, 236306981)"
1683,323,14.4,Truck,236160072
1683,324,7.2,Car,"(236160006, 236160072)"
1683,325,18.0,Motorcycle,"(281474610, 236306981)"
1683,326,25.2,Car,"(236160072, 236160006)"
1683,327,25.2,Car,"(236160072, 236160006)"
1683,328,18.0,Bus,"(281474691, 281474610)"
1683,329,14.4,Bus,"(273461469, 273461466)"
1683,330,7.2,Motorcycle,"(236160006, 236306981)"
1683,331,10.8,Car,"(3044475380, 281474691)"
1683,332,3.6,Truck,"(236306981, 281474610)"
1683,333,0.0,Car,"(281474691, 281474610)"
1684,313,14.4,Car,"(273461469, 273461466)"
1684,318,18.0,Car,"(236160006, 236306981)"
1684,323,10.8,Truck,"(236160072, 267538595)"
1684,324,10.8,Car,"(236160006, 236160072)"
1684,325,14.4,Motorcycle,"(281474610, 236306981)"
