Step,AgentID,Speed,VehicleType,Position
1638,311,21.6,Bus,"(281474610, 281474691)"
1638,313,14.4,Car,"(236306981, 236160006)"
1638,316,25.2,Truck,"(236160072, 236160006)"
1638,317,25.2,Motorcycle,"(236160006, 236160072)"
1638,318,14.4,Car,"(495649052, 495649040)"
1638,319,10.8,Motorcycle,"(236160006, 236160072)"
1638,320,14.4,Truck,"(236306981, 236160006)"
1638,321,14.4,Car,"(495649052, 495649040)"
1639,307,25.2,Motorcycle,"(236160072, 267538595)"
1639,311,18.0,Bus,"(281474610, 281474691)"
1639,313,18.0,Car,"(236306981, 236160006)"
1639,316,25.2,Truck,"(236160072, 236160006)"
1639,317,21.6,Motorcycle,"(236160006, 236160072)"
1639,318,10.8,Car,495649040
1639,319,14.4,Motorcycle,"(236160006, 236160072)"
1639,320,18.0,Truck,"(236306981, 236160006)"
1639,321,18.0,Car,"(495649052, 495649040)"
1640,307,25.2,Motorcycle,"(236160072, 267538595)"
1640,311,14.4,Bus,"(281474610, 281474691)"
1640,313,21.6,Car,"(236306981, 236160006)"
1640,316,21.6,Truck,"(236160072, 236160006)"
1640,317,18.0,Motorcycle,"(236160006, 236160072)"
1640,318,7.2,Car,"(495649040, 273461469)"
1640,319,18.0,Motorcycle,"(236160006, 236160072)"
1640,320,14.4,Truck,"(236306981, 236160006)"
1640,321,21.6,Car,"(495649052, 495649040)"
1641,307,25.2,Motorcycle,"(236160072, 267538595)"
1641,311,10.8,Bus,"(281474610, 281474691)"
1641,313,18.0,Car,"(236306981, 236160006)"
1641,316,25.2,Truck,"(236160072, 236160006)"
1641,317,14.4,Motorcycle,"(236160006, 236160072)"
1641,318,10.8,Car,"(495649040, 273461469)"
1641,319,21.6,Motorcycle,"(236160006, 236160072)"
1641,320,10.8,Truck,"(236306981, 236160006)"
1641,321,18.0,Car,"(495649052, 495649040)"
1642,307,25.2,Motorcycle,"(236160072, 267538595)"
1642,311,7.2,Bus,"(281474610, 281474691)"
1642,313,14.4,Car,"(236306981, 236160006)"
1642,316,21.6,Truck,"(236160072, 236160006)"
1642,317,10.8,Motorcycle,"(236160006, 236160072)"
1642,318,14.4,Car,"(495649040, 273461469)"
1642,319,25.2,Motorcycle,"(236160006, 236160072)"
1642,320,7.2,Truck,"(236306981, 236160006)"
1642,321,14.4,Car,495649040
1643,307,25.2,Motorcycle,"(236160072, 267538595)"
1643,311,3.6,Bus,"(281474610, 281474691)"
1643,313,10.8,Car,236160006
1643,316,18.0,Truck,"(236160072, 236160006)"
1643,317,7.2,Motorcycle,"(236160006, 236160072)"
1643,318,18.0,Car,"(495649040, 273461469)"
1643,319,25.2,Motorcycle,"(236160006, 236160072)"
1643,320,3.6,Truck,"(236306981, 236160006)"
1643,321,10.8,Car,"(495649040, 273461469)"
1643,322,0.0,Motorcycle,"(236160006, 236306981)"
1644,307,25.2,Motorcycle,"(236160072, 267538595)"
1644,313,7.2,Car,"(236160006, 236160072)"
1644,317,3.6,Motorcycle,"(236160006, 236160072)"
1644,318,21.6,Car,"(495649040, 273461469)"
1644,319,25.2,Motorcycle,"(236160006, 236160072)"
1644,320,0.0,Truck,"(236306981, 236160006)"
1644,321,14.4,Car,"(495649040, 273461469)"
1644,322,3.6,Motorcycle,"(236160006, 236306981)"
1645,307,21.6,Motorcycle,"(236160072, 267538595)"
1645,313,10.8,Car,"(236160006, 236160072)"
1645,317,7.2,Motorcycle,236160072
1645,318,25.2,Car,"(495649040, 273461469)"
1645,319,25.2,Motorcycle,"(236160006, 236160072)"
1645,320,3.6,Truck,"(236306981, 236160006)"
1645,321,10.8,Car,"(495649040, 273461469)"
1645,322,7.2,Motorcycle,"(236160006, 236306981)"
1646,307,18.0,Motorcycle,"(236160072, 267538595)"
1646,313,14.4,Car,"(236160006, 236160072)"
1646,317,3.6,Motorcycle,"(236160072, 273461469)"
1646,318,25.2,Car,"(495649040, 273461469)"
1646,319,25.2,Motorcycle,"(236160006, 236160072)"
1646,320,0.0,Truck,"(236306981, 236160006)"
1646,321,14.4,Car,"(495649040, 273461469)"
1646,322,10.8,Motorcycle,"(236160006, 236306981)"
1647,307,14.4,Motorcycle,"(236160072, 267538595)"
1647,313,18.0,Car,"(236160006, 236160072)"
1647,317,7.2,Motorcycle,"(236160072, 273461469)"
1647,318,25.2,Car,"(495649040, 273461469)"
1647,319,25.2,Motorcycle,"(236160006, 236160072)"
1647,320,0.0,Truck,"(236306981, 236160006)"
1647,321,18.0,Car,"(495649040, 273461469)"
1647,322,14.4,Motorcycle,"(236160006, 236306981)"
1647,323,0.0,Truck,"(281474610, 236306981)"
1648,307,10.8,Motorcycle,"(236160072, 267538595)"
1648,313,21.6,Car,"(236160006, 236160072)"
1648,318,21.6,Car,"(495649040, 273461469)"
1648,319,25.2,Motorcycle,"(236160006, 236160072)"
1648,320,3.6,Truck,236160006
1648,321,21.6,Car,"(495649040, 273461469)"
1648,322,18.0,Motorcycle,"(236160006, 236306981)"
1648,323,3.6,Truck,"(281474610, 236306981)"
1649,307,14.4,Motorcycle,"(236160072, 267538595)"
1649,313,25.2,Car,"(236160006, 236160072)"
1649,318,18.0,Car,"(495649040, 273461469)"
1649,319,25.2,Motorcycle,"(236160006, 236160072)"
1649,320,0.0,Truck,"(236160006, 236160072)"
1649,321,18.0,Car,"(495649040, 273461469)"
1649,322,21.6,Motorcycle,"(236160006, 236306981)"
1649,323,7.2,Truck,"(281474610, 236306981)"
1650,313,25.2,Car,"(236160006, 236160072)"
1650,318,14.4,Car,"(495649040, 273461469)"
1650,319,25.2,Motorcycle,"(236160006, 236160072)"
1650,320,3.6,Truck,"(236160006, 236160072)"
1650,321,21.6,Car,"(495649040, 273461469)"
1650,322,18.0,Motorcycle,"(236160006, 236306981)"
1650,323,10.8,Truck,"(281474610, 236306981)"
1651,313,25.2,Car,"(236160006, 236160072)"
1651,318,10.8,Car,"(495649040, 273461469)"
1651,319,25.2,Motorcycle,"(236160006, 236160072)"
1651,320,7.2,Truck,"(236160006, 236160072)"
1651,321,18.0,Car,"(495649040, 273461469)"
1651,322,14.4,Motorcycle,236306981
1651,323,14.4,Truck,"(281474610, 236306981)"
1652,313,25.2,Car,"(236160006, 236160072)"
1652,318,14.4,Car,"(495649040, 273461469)"
1652,319,25.2,Motorcycle,"(236160006, 236160072)"
1652,320,10.8,Truck,"(236160006, 236160072)"
1652,321,21.6,Car,"(495649040, 273461469)"
1652,322,10.8,Motorcycle,"(236306981, 281474610)"
1652,323,18.0,Truck,"(281474610, 236306981)"
1653,313,25.2,Car,"(236160006, 236160072)"
1653,318,10.8,Car,273461469
1653,319,25.2,Motorcycle,"(236160006, 236160072)"
1653,320,14.4,Truck,"(236160006, 236160072)"
1653,321,18.0,Car,"(495649040, 273461469)"
1653,322,14.4,Motorcycle,"(236306981, 281474610)"
